# qualifier, keyCode, keyCodeAsText, currentTimeOfEvent, numOfEventsSinceStart, deltaSinceLastEvent
# new logging sessions start with !
! Starting new logging session. Time: 2018/07/05 10:33:10
k 45 X 1.530779652245E12 2 62033.0
k 45 X 1.530779652246E12 3 1.0
k 45 X 1.530779652405E12 4 159.0
k 45 X 1.530779652577E12 5 172.0
k 45 X 1.530779652756E12 6 179.0
k 45 X 1.530779652924E12 7 168.0
k 45 X 1.530779653083E12 8 159.0
k 45 X 1.530779653243E12 9 160.0
k 45 X 1.530779653414E12 10 171.0
k 45 X 1.53077965359E12 11 176.0
k 45 X 1.530779653753E12 12 163.0
k 45 X 1.530779653925E12 13 172.0
k 45 X 1.530779654092E12 14 167.0
k 45 X 1.530779654271E12 15 179.0
k 45 X 1.530779654427E12 16 156.0
k 45 X 1.530779654587E12 17 160.0
k 45 X 1.530779654749E12 18 162.0
k 45 X 1.530779654925E12 19 176.0
k 45 X 1.530779655101E12 20 176.0
k 45 X 1.530779655284E12 21 183.0
k 45 X 1.530779655464E12 22 180.0
k 21 Y 1.530779655707E12 23 243.0
k 21 Y 1.530779655898E12 24 191.0
k 21 Y 1.530779656078E12 25 180.0
k 21 Y 1.530779656249E12 26 171.0
k 21 Y 1.530779656421E12 27 172.0
k 21 Y 1.53077965658E12 28 159.0
k 21 Y 1.530779656939E12 29 359.0
k 21 Y 1.530779657107E12 30 168.0
k 21 Y 1.530779657281E12 31 174.0
k 21 Y 1.530779657469E12 32 188.0
k 21 Y 1.530779657664E12 33 195.0
k 45 X 1.53077977808E12 34 120416.0
k 45 X 1.530779778304E12 35 224.0
k 45 X 1.530779778471E12 36 167.0
k 45 X 1.530779778635E12 37 164.0
k 45 X 1.530779778795E12 38 160.0
k 45 X 1.530779778974E12 39 179.0
k 45 X 1.530779779165E12 40 191.0
k 45 X 1.530779779356E12 41 191.0
k 45 X 1.530779779684E12 42 328.0
k 45 X 1.53077977986E12 43 176.0
k 45 X 1.530779780026E12 44 166.0
k 45 X 1.53077978019E12 45 164.0
k 45 X 1.530779780373E12 46 183.0
k 45 X 1.530779780554E12 47 181.0
k 45 X 1.53077978096E12 48 406.0
k 21 Y 1.530779781135E12 49 175.0
k 21 Y 1.530779781287E12 50 152.0
k 21 Y 1.530779781471E12 51 184.0
k 21 Y 1.530779781649E12 52 178.0
k 21 Y 1.530779781829E12 53 180.0
k 21 Y 1.530779781996E12 54 167.0
k 21 Y 1.530779782187E12 55 191.0
k 21 Y 1.530779782367E12 56 180.0
k 21 Y 1.53077978255E12 57 183.0
k 21 Y 1.530779782742E12 58 192.0
k 21 Y 1.530779782929E12 59 187.0
k 21 Y 1.530779783142E12 60 213.0
k 45 X 1.530779906826E12 61 123684.0
k 45 X 1.530779906999E12 62 173.0
k 45 X 1.530779907177E12 63 178.0
k 45 X 1.53077990734E12 64 163.0
k 45 X 1.530779907489E12 65 149.0
k 45 X 1.530779907655E12 66 166.0
k 45 X 1.53077990782E12 67 165.0
k 45 X 1.530779907983E12 68 163.0
k 45 X 1.530779908151E12 69 168.0
k 45 X 1.530779908325E12 70 174.0
k 45 X 1.530779908497E12 71 172.0
k 45 X 1.53077990868E12 72 183.0
k 45 X 1.53077990886E12 73 180.0
k 45 X 1.530779909039E12 74 179.0
k 21 Y 1.530779909318E12 75 279.0
k 21 Y 1.530779909498E12 76 180.0
k 21 Y 1.530779909666E12 77 168.0
k 21 Y 1.530779909809E12 78 143.0
k 21 Y 1.530779909977E12 79 168.0
k 21 Y 1.530779910148E12 80 171.0
k 21 Y 1.530779910319E12 81 171.0
k 21 Y 1.530779910502E12 82 183.0
k 21 Y 1.530779910658E12 83 156.0
k 21 Y 1.530779910826E12 84 168.0
k 21 Y 1.530779910985E12 85 159.0
k 21 Y 1.530779911157E12 86 172.0
k 21 Y 1.530779911324E12 87 167.0
k 21 Y 1.530779911499E12 88 175.0
k 21 Y 1.530779911667E12 89 168.0
k 21 Y 1.530779911851E12 90 184.0
k 21 Y 1.5307799125E12 91 649.0
! Starting new logging session. Time: 2018/07/08 10:17:52
k 59 F1 1.531038202138E12 101 45106.0
k 45 X 1.531038277001E12 102 74863.0
k 45 X 1.531038277185E12 103 184.0
k 45 X 1.531038277376E12 104 191.0
k 45 X 1.531038277559E12 105 183.0
k 45 X 1.531038277727E12 106 168.0
k 45 X 1.531038277902E12 107 175.0
k 45 X 1.531038278209E12 108 307.0
k 45 X 1.531038278373E12 109 164.0
k 45 X 1.531038278548E12 110 175.0
k 45 X 1.531038278728E12 111 180.0
k 45 X 1.531038278915E12 112 187.0
k 45 X 1.531038279087E12 113 172.0
k 45 X 1.531038279266E12 114 179.0
k 45 X 1.531038279446E12 115 180.0
k 45 X 1.531038279617E12 116 171.0
k 45 X 1.531038279793E12 117 176.0
k 45 X 1.531038279956E12 118 163.0
k 45 X 1.531038280136E12 119 180.0
k 21 Y 1.531038280378E12 120 242.0
k 21 Y 1.531038280721E12 121 343.0
k 21 Y 1.531038281088E12 122 367.0
k 21 Y 1.53103828128E12 123 192.0
k 21 Y 1.53103828146E12 124 180.0
k 21 Y 1.531038281627E12 125 167.0
k 21 Y 1.531038282127E12 126 500.0
k 21 Y 1.531038282161E12 127 34.0
k 21 Y 1.531038282194E12 128 33.0
k 21 Y 1.531038282227E12 129 33.0
k 21 Y 1.53103828226E12 130 33.0
k 21 Y 1.531038282293E12 131 33.0
k 21 Y 1.531038282326E12 132 33.0
k 21 Y 1.531038282381E12 133 55.0
k 21 Y 1.531038282572E12 134 191.0
k 21 Y 1.53103828276E12 135 188.0
k 21 Y 1.531038282959E12 136 199.0
k 21 Y 1.531038283158E12 137 199.0
k 21 Y 1.531038283565E12 138 407.0
k 21 Y 1.53103828378E12 139 215.0
k 45 X 1.531038379974E12 140 96194.0
k 45 X 1.53103838015E12 141 176.0
k 45 X 1.531038380318E12 142 168.0
k 45 X 1.531038380477E12 143 159.0
k 45 X 1.531038380644E12 144 167.0
k 45 X 1.531038380807E12 145 163.0
k 45 X 1.531038380959E12 146 152.0
k 45 X 1.531038381299E12 147 340.0
k 45 X 1.531038381489E12 148 190.0
k 45 X 1.531038381876E12 149 387.0
k 45 X 1.531038382075E12 150 199.0
k 45 X 1.531038382267E12 151 192.0
k 45 X 1.531038382454E12 152 187.0
k 45 X 1.531038382626E12 153 172.0
k 45 X 1.531038382817E12 154 191.0
k 45 X 1.531038382988E12 155 171.0
k 45 X 1.531038383176E12 156 188.0
k 45 X 1.531038383367E12 157 191.0
k 45 X 1.531038383568E12 158 201.0
k 45 X 1.53103838377E12 159 202.0
k 45 X 1.531038384429E12 160 659.0
k 21 Y 1.531038384719E12 161 290.0
k 21 Y 1.531038384922E12 162 203.0
k 21 Y 1.53103838513E12 163 208.0
k 21 Y 1.531038385329E12 164 199.0
k 21 Y 1.53103838552E12 165 191.0
k 21 Y 1.531038385724E12 166 204.0
k 21 Y 1.531038385919E12 167 195.0
k 21 Y 1.531038386115E12 168 196.0
k 21 Y 1.531038386306E12 169 191.0
k 21 Y 1.531038386533E12 170 227.0
k 45 X 1.531038490408E12 171 103875.0
k 45 X 1.531038490579E12 172 171.0
k 45 X 1.531038490763E12 173 184.0
k 45 X 1.531038490954E12 174 191.0
k 45 X 1.531038491134E12 175 180.0
k 45 X 1.53103849229E12 176 1156.0
k 45 X 1.531038492482E12 177 192.0
k 45 X 1.531038492665E12 178 183.0
k 45 X 1.531038493299E12 179 634.0
k 45 X 1.531038493479E12 180 180.0
k 45 X 1.531038493661E12 181 182.0
k 45 X 1.531038493842E12 182 181.0
k 45 X 1.53103849402E12 183 178.0
k 45 X 1.531038494213E12 184 193.0
k 45 X 1.531038494395E12 185 182.0
k 45 X 1.531038494559E12 186 164.0
k 45 X 1.531038494739E12 187 180.0
k 45 X 1.531038494926E12 188 187.0
k 45 X 1.531038495118E12 189 192.0
k 45 X 1.531038495281E12 190 163.0
k 45 X 1.531038495655E12 191 374.0
k 45 X 1.531038495868E12 192 213.0
k 45 X 1.531038496062E12 193 194.0
k 45 X 1.531038496277E12 194 215.0
k 45 X 1.531038496474E12 195 197.0
k 21 Y 1.531038496728E12 196 254.0
k 21 Y 1.531038496888E12 197 160.0
k 21 Y 1.531038497104E12 198 216.0
k 21 Y 1.531038497298E12 199 194.0
k 21 Y 1.531038497494E12 200 196.0
k 21 Y 1.531038497693E12 201 199.0
k 21 Y 1.531038497881E12 202 188.0
k 21 Y 1.531038498092E12 203 211.0
k 21 Y 1.531038498291E12 204 199.0
k 21 Y 1.53103849849E12 205 199.0
k 21 Y 1.531038498687E12 206 197.0
k 21 Y 1.531038498885E12 207 198.0
k 21 Y 1.531038499093E12 208 208.0
k 45 X 1.531038609851E12 209 110758.0
k 45 X 1.53103861003E12 210 179.0
k 45 X 1.531038610212E12 211 182.0
k 45 X 1.53103861038E12 212 168.0
k 45 X 1.531038610704E12 213 324.0
k 45 X 1.531038610895E12 214 191.0
k 45 X 1.531038611059E12 215 164.0
k 45 X 1.53103861123E12 216 171.0
k 45 X 1.531038611406E12 217 176.0
k 45 X 1.531038611605E12 218 199.0
k 45 X 1.531038611784E12 219 179.0
k 45 X 1.53103861196E12 220 176.0
k 45 X 1.531038612155E12 221 195.0
k 45 X 1.531038612331E12 222 176.0
k 45 X 1.53103861253E12 223 199.0
k 45 X 1.531038612734E12 224 204.0
k 21 Y 1.531038613047E12 225 313.0
k 21 Y 1.531038613239E12 226 192.0
k 21 Y 1.531038613439E12 227 200.0
k 21 Y 1.531038613635E12 228 196.0
k 21 Y 1.531038613813E12 229 178.0
k 21 Y 1.531038614013E12 230 200.0
k 21 Y 1.531038614208E12 231 195.0
k 21 Y 1.531038614408E12 232 200.0
k 21 Y 1.531038614616E12 233 208.0
k 21 Y 1.531038614803E12 234 187.0
k 21 Y 1.531038615001E12 235 198.0
k 21 Y 1.531038615198E12 236 197.0
k 21 Y 1.531038615404E12 237 206.0
k 21 Y 1.531038615609E12 238 205.0
k 21 Y 1.531038615816E12 239 207.0
k 45 X 1.531038703691E12 240 87875.0
k 45 X 1.531038703906E12 241 215.0
k 45 X 1.531038704094E12 242 188.0
k 45 X 1.531038704285E12 243 191.0
k 45 X 1.531038704473E12 244 188.0
k 45 X 1.531038704644E12 245 171.0
k 45 X 1.531038704812E12 246 168.0
k 45 X 1.531038704995E12 247 183.0
k 45 X 1.531038705179E12 248 184.0
k 45 X 1.531038705382E12 249 203.0
k 45 X 1.531038705581E12 250 199.0
k 45 X 1.531038705769E12 251 188.0
k 45 X 1.531038705972E12 252 203.0
k 45 X 1.531038706171E12 253 199.0
k 45 X 1.531038706375E12 254 204.0
k 45 X 1.53103870657E12 255 195.0
k 45 X 1.531038706758E12 256 188.0
k 45 X 1.531038706949E12 257 191.0
k 45 X 1.531038707152E12 258 203.0
k 45 X 1.53103870734E12 259 188.0
k 21 Y 1.531038707547E12 260 207.0
k 21 Y 1.531038707738E12 261 191.0
k 21 Y 1.531038707914E12 262 176.0
k 21 Y 1.531038708097E12 263 183.0
k 21 Y 1.531038708273E12 264 176.0
k 21 Y 1.53103870846E12 265 187.0
k 21 Y 1.531038708823E12 266 363.0
k 21 Y 1.53103870903E12 267 207.0
k 21 Y 1.531038709218E12 268 188.0
k 21 Y 1.531038709397E12 269 179.0
k 45 X 1.531038801113E12 270 91716.0
k 45 X 1.531038801284E12 271 171.0
k 45 X 1.531038801452E12 272 168.0
k 45 X 1.531038801628E12 273 176.0
k 45 X 1.531038801814E12 274 186.0
k 45 X 1.531038801986E12 275 172.0
k 45 X 1.531038802214E12 276 228.0
k 45 X 1.531038802397E12 277 183.0
k 45 X 1.531038802568E12 278 171.0
k 45 X 1.53103880276E12 279 192.0
k 45 X 1.531038802935E12 280 175.0
k 45 X 1.531038803146E12 281 211.0
k 45 X 1.531038803346E12 282 200.0
k 45 X 1.531038803525E12 283 179.0
k 45 X 1.531038804025E12 284 500.0
k 45 X 1.531038804107E12 285 82.0
k 21 Y 1.531038804378E12 286 271.0
k 21 Y 1.531038804562E12 287 184.0
k 21 Y 1.531038804773E12 288 211.0
k 21 Y 1.53103880498E12 289 207.0
k 21 Y 1.53103880518E12 290 200.0
k 21 Y 1.531038805387E12 291 207.0
k 21 Y 1.531038805888E12 292 501.0
k 21 Y 1.531038805921E12 293 33.0
k 21 Y 1.531038805954E12 294 33.0
k 21 Y 1.531038805987E12 295 33.0
k 21 Y 1.53103880602E12 296 33.0
k 21 Y 1.531038806053E12 297 33.0
k 21 Y 1.531038806086E12 298 33.0
k 21 Y 1.531038806118E12 299 32.0
k 21 Y 1.531038806152E12 300 34.0
k 21 Y 1.531038806253E12 301 101.0
k 21 Y 1.531038806457E12 302 204.0
k 21 Y 1.531038806663E12 303 206.0
k 21 Y 1.531038806883E12 304 220.0
k 21 Y 1.531038807094E12 305 211.0
k 21 Y 1.531038807333E12 306 239.0
k 21 Y 1.531038807589E12 307 256.0
k 21 Y 1.531038807896E12 308 307.0
k 45 X 1.531038900061E12 309 92165.0
k 45 X 1.531038900237E12 310 176.0
k 45 X 1.531038900404E12 311 167.0
k 45 X 1.531038900568E12 312 164.0
k 45 X 1.53103890074E12 313 172.0
k 45 X 1.531038900883E12 314 143.0
k 45 X 1.531038901047E12 315 164.0
k 45 X 1.531038901218E12 316 171.0
k 45 X 1.531038901386E12 317 168.0
k 45 X 1.53103890184E12 318 454.0
k 45 X 1.531038902E12 319 160.0
k 45 X 1.531038902203E12 320 203.0
k 45 X 1.531038902403E12 321 200.0
k 45 X 1.531038902614E12 322 211.0
k 45 X 1.53103890281E12 323 196.0
k 21 Y 1.531038903024E12 324 214.0
