# qualifier(m) whichButton(l/r/mmb) timeOfEventInMillis numberOfEvents delta!
! Starting new logging session. Time: 2018/07/05 10:33:12
m LMB 1.530779595125E12 2 2439.0
m MMB 1.530779603059E12 3 7934.0
m MMB 1.530779604239E12 4 1180.0
m MMB 1.530779604276E12 5 37.0
m MMB 1.530779604312E12 6 36.0
m MMB 1.530779604361E12 7 49.0
m MMB 1.530779604433E12 8 72.0
m LMB 1.530779621515E12 9 17082.0
m LMB 1.530779622313E12 10 798.0
m LMB 1.530779623695E12 11 1382.0
m LMB 1.530779627946E12 12 4251.0
m LMB 1.530779651766E12 13 23820.0
m LMB 1.530779658282E12 14 6516.0
m LMB 1.530779777185E12 15 118903.0
m LMB 1.530779784361E12 16 7176.0
m LMB 1.530779835959E12 17 51598.0
m LMB 1.53077983771E12 18 1751.0
m LMB 1.530779843368E12 19 5658.0
m MMB 1.530779852313E12 20 8945.0
m MMB 1.530779852442E12 21 129.0
m MMB 1.530779897573E12 22 45131.0
m LMB 1.530779906151E12 23 8578.0
m LMB 1.531038225575E12 17 25108.0
m LMB 1.531038256479E12 18 30904.0
m LMB 1.531038257678E12 19 1199.0
m LMB 1.531038258865E12 20 1187.0
m LMB 1.531038264879E12 21 6014.0
m LMB 1.531038266749E12 22 1870.0
m LMB 1.531038275946E12 23 9197.0
m LMB 1.5310382842E12 24 8254.0
m LMB 1.531038321039E12 25 36839.0
m MMB 1.531038352367E12 26 31328.0
m LMB 1.531038367007E12 27 14640.0
m LMB 1.531038378955E12 28 11948.0
m LMB 1.531038387162E12 29 8207.0
m LMB 1.531038489551E12 30 102389.0
m LMB 1.531038492043E12 31 2492.0
m LMB 1.531038499757E12 32 7714.0
m LMB 1.531038522575E12 33 22818.0
m RMB 1.531038526539E12 34 3964.0
m LMB 1.531038536656E12 35 10117.0
m LMB 1.53103854414E12 36 7484.0
m LMB 1.531038561333E12 37 17193.0
m LMB 1.531038608633E12 38 47300.0
m LMB 1.531038616333E12 39 7700.0
m RMB 1.53103868307E12 40 66737.0
m LMB 1.53103870242E12 41 19350.0
m LMB 1.531038710171E12 42 7751.0
m LMB 1.531038752056E12 43 41885.0
m LMB 1.531038800315E12 44 48259.0
m LMB 1.531038808173E12 45 7858.0
m LMB 1.531038899023E12 46 90850.0
m LMB 1.531038907026E12 47 8003.0
m LMB 1.531038980223E12 48 73197.0
m LMB 1.531039023269E12 49 43046.0
m LMB 1.531207302684E12 3 4107.0
m LMB 1.531207304715E12 4 2031.0

